ID,取引価格（総額）_log
1000078,7.740017368857174
1000121,6.840504494066706
1000123,7.32264814655511
1000127,7.083329539748649
1000129,7.106762524576271
1000133,7.2571197837990695
1000135,7.056702321525054
1000137,6.910036692573462
1000406,6.865478174046945
1000408,6.604393471426522
1000410,7.6755776160479146
1000735,7.558676186330267
1000745,7.761262477159416
1000816,6.612837948677961
1000819,7.383392798128457
1000822,7.708952379949216
1000826,7.1903416896239625
1000829,7.436867179183683
1000832,7.077208731775525
1000924,7.521066722384911
1000990,7.316248527118752
1000992,6.572995437851863
1001155,7.628809175595262
1001157,7.519377074059027
1001210,7.128304910968663
1001214,7.4469392090095115
1001281,7.455661326564296
1001342,7.601637555006825
1001419,7.624296723036601
1001459,7.4596176722841845
1001466,7.528739944602871
1001500,7.274268923942484
1001577,7.519030573000023
1001652,7.54123534707584
1001659,7.6988032400196404
1001661,6.823575723723617
1001747,7.139818507241436
1001756,7.623574940914043
1001843,7.585136133528397
1001922,7.658773131632567
1001926,7.5919933315074735
1001971,7.042588789611398
1002112,7.116626491661552
1002145,7.458507670633058
1002183,7.4650246924744295
1002188,7.07841893512488
1002194,7.383158322353928
1002199,7.529151272749492
1002266,7.503011018534775
1002279,7.408344287376107
1002284,7.228474861879697
1002332,7.529807248476199
1002336,7.049442579722569
1002454,7.583752492067315
1002457,7.529807248476199
1002463,7.574172921618061
1002638,7.030965104937054
1002647,6.863440830199309
1002650,7.457341628482349
1002652,7.380141098873378
1002654,7.067513970273349
1002691,7.5334138695218655
1002801,7.435071026928881
1002803,7.593616733469428
1002805,7.593616733469428
1002836,7.5815113004504875
1002947,6.4202663579695205
1002950,6.421710308872416
1002953,6.4199138914625244
1002956,6.425963980283726
1002972,7.527407440279593
1003083,7.1802762854399385
1003193,7.337551367341422
1003195,7.403398951401961
1003196,7.443380164589171
1003202,7.2633522740307965
1003289,7.006619520523148
1003408,7.52645174276048
1003520,6.9366383438687045
1003523,7.309836861393433
1003589,7.5222756538295386
1003657,7.321089275537935
1003660,7.445212096605541
1003842,6.938572572656945
1003847,6.91597542724989
1003956,6.554091628118557
1004114,7.525963265291868
1004153,7.9268319388879265
1004326,7.186247729165674
1004382,6.880966663749166
1004383,6.482296936937882
1004504,7.337467295634627
1004571,7.085811503525879
1004616,7.032001141933509
1004618,7.28265810849864
1004621,7.488660405905397
1004624,7.600863605088214
1004895,7.501386245718577
1004914,7.2445526302411345
1005038,7.422312107545103
1005153,6.5862177599024365
1005328,7.567540829000619
1005332,7.5396428533411
1005384,7.526786185914589
1005402,6.397721701170838
1005406,6.531352765288424
1005408,6.9027118143735136
1005410,6.338891105850948
1005418,6.717793317507685
1005549,6.790246350152479
1005551,7.374909815430908
1005836,6.870589128826076
1005841,6.81236331419132
1005879,6.15477578886387
1005882,6.273176555584357
1005885,7.033123080858452
1006008,7.321370320707774
1006012,7.303586932699374
1006081,7.201298416258152
1006085,7.209086816479762
1006146,7.527956166837602
1006251,7.009644408537952
1006280,6.960559918441054
1006397,6.881765384805155
1006423,7.590546581434722
1006495,7.040229964262135
1006529,7.457601595672308
1006532,6.959443029856068
1006534,7.028192019017021
1006628,6.877183202659199
1006631,7.4245881693758635
1006633,6.884398275357127
1006723,7.161426791848638
1006799,6.809568442813069
1006884,6.656373475136569
1006891,6.935429435514714
1006898,6.974377761971332
1006920,6.935282153393422
1006926,6.771664832441364
1007149,6.285946041390837
1007152,6.245051589403677
1007156,6.594128355250697
1007308,7.586296048094373
1007397,7.4762871872086025
1007483,7.424778521012487
1007489,7.318127865843036
1007494,7.201208832177943
1007555,7.48790202674157
1007587,7.44274219880511
1007589,6.427623109044828
1007593,7.437354280925469
1007597,6.332282824207685
1007600,6.562793211628839
1007603,6.210453867169058
1007606,6.3783307839978525
1007770,7.491015594865023
1007869,7.517656164046019
1008076,6.965381299837444
1008079,7.6846551840343515
1008128,7.380983476183249
1008151,7.561537589995318
1008192,7.3441096288299095
1008253,7.525747628854293
1008255,7.41380728010692
1008285,7.1168992375835325
1008431,7.323202005381742
1008434,7.1730486050757465
1008442,7.385424047741793
1008642,7.517493397756201
1008657,7.534151212661048
1008660,6.692021240035667
1008671,6.499894499062205
1008693,7.588823334070473
1008904,6.8193013885578315
1008906,6.957714423087933
1008955,7.41157704483997
1008959,7.41771980008626
1009065,7.018059142518943
1009067,7.332682175270192
1009185,7.262981755173172
1009188,7.160482996114038
1009190,7.319482887332069
1009195,7.339402085293032
1009401,7.266281121481146
1009527,6.8976358336859205
1009529,7.175769101368577
1009532,7.368332734021645
1009633,7.465285331993709
1009693,7.313905926631516
1009695,6.4153918371380705
1009959,7.261297218786136
1009982,6.875905082665578
1009996,7.407133397408572
1010122,7.487799091127818
1010250,7.2577251218805054
1010275,6.359440406840883
